Country,Doses administered per 100 people,Total doses administered,% of population vaccinated,% of population fully vaccinated
Afghanistan,4.8,1809517.0,2.0,
Albania,50.0,1415907.0,28.0,21.0
Algeria,9.6,4146091.0,7.9,1.7
Angola,5.8,1841568.0,3.5,2.3
Argentina,90.0,40407410.0,61.0,29.0
Armenia,8.1,239342.0,5.2,2.9
Aruba,138.0,147080.0,74.0,65.0
Australia,71.0,18083207.0,45.0,26.0
Austria,117.0,10396523.0,62.0,58.0
Azerbaijan,64.0,6419537.0,39.0,25.0
Bahamas,33.0,129017.0,19.0,14.0
Bahrain,151.0,2470771.0,69.0,66.0
Bangladesh,15.0,24781134.0,11.0,4.4
Barbados,69.0,196703.0,36.0,32.0
Belarus,28.0,2684863.0,16.0,13.0
Belgium,140.0,16040343.0,73.0,70.0
Belize,56.0,217385.0,39.0,17.0
Benin,1.0,117984.0,0.5,0.4
Bhutan,136.0,1036834.0,74.0,62.0
Bolivia,48.0,5574927.0,32.0,22.0
Bosnia and Herzegovina,28.0,928126.0,17.0,11.0
Botswana,19.0,434644.0,11.0,7.9
Brazil,88.0,186279872.0,63.0,28.0
Brunei,62.0,267132.0,45.0,17.0
Bulgaria,33.0,2269759.0,16.0,16.0
Burkina Faso,0.4,71510.0,0.3,0.1
Cambodia,109.0,17953133.0,61.0,49.0
Cameroon,1.6,418130.0,1.3,0.3
Canada,141.0,52855509.0,74.0,67.0
Cape Verde,48.0,262164.0,39.0,9.0
Central African Republic,2.0,95862.0,1.7,0.3
Chad,0.3,45390.0,0.2,0.1
Chile,149.0,28312036.0,76.0,70.0
Colombia,67.0,33963461.0,44.0,29.0
Comoros,28.0,239158.0,21.0,7.5
Congo,0.1,87910.0,0.1,0.1
Costa Rica,80.0,4033022.0,60.0,20.0
Croatia,80.0,3244822.0,42.0,39.0
Cuba,113.0,12852801.0,46.0,28.0
Curaçao,115.0,181226.0,61.0,54.0
Cyprus,91.0,1085014.0,48.0,43.0
Czech Republic,107.0,11372245.0,55.0,53.0
Denmark,145.0,8451189.0,75.0,71.0
Djibouti,6.0,58245.0,3.6,2.3
Dominican Rep.,102.0,10978304.0,54.0,43.0
Ecuador,101.0,17513775.0,57.0,43.0
Egypt,8.0,8004586.0,5.1,2.9
El Salvador,91.0,5896289.0,53.0,39.0
Equatorial Guinea,25.0,336579.0,14.0,11.0
Estonia,94.0,1252180.0,54.0,40.0
Eswatini,21.0,239519.0,8.4,9.5
Ethiopia,2.1,2349283.0,2.1,
Fiji,87.0,778159.0,61.0,26.0
Finland,120.0,6641094.0,72.0,48.0
France,127.0,85493287.0,71.0,58.0
French Polynesia,75.0,209386.0,43.0,32.0
Gabon,6.0,130798.0,3.6,2.4
Gambia,14.0,321385.0,7.6,6.1
Georgia,29.0,1095069.0,20.0,9.3
Germany,121.0,100926849.0,65.0,60.0
Greece,105.0,11278583.0,56.0,53.0
Grenada,36.0,40075.0,20.0,16.0
Guatemala,25.0,4124813.0,19.0,5.9
Guinea,8.3,1057085.0,5.5,2.8
Guinea-Bissau,1.6,31090.0,1.5,0.2
Guyana,58.0,455209.0,39.0,20.0
Haiti,0.2,27412.0,0.2,0.1
Honduras,31.0,3048368.0,20.0,12.0
Hong Kong,98.0,7287817.0,54.0,44.0
Hungary,108.0,10555046.0,59.0,56.0
Iceland,145.0,525123.0,77.0,73.0
India,44.0,604391211.0,34.0,10.0
Indonesia,34.0,92784183.0,22.0,12.0
Iran,28.0,23137699.0,20.0,7.4
Iraq,5.3,2102550.0,,
Ireland,136.0,6705120.0,74.0,67.0
Israel,147.0,13279916.0,66.0,60.0
Italy,127.0,76493946.0,70.0,60.0
Ivory Coast,5.0,1287881.0,5.0,
Jamaica,17.0,496976.0,12.0,4.8
Japan,99.0,124534483.0,55.0,44.0
Jordan,62.0,6259831.0,34.0,28.0
Kazakhstan,63.0,11619575.0,35.0,28.0
Kenya,4.8,2501198.0,3.3,1.5
Kiribati,12.0,13970.0,12.0,
Kyrgyzstan,17.0,1089812.0,10.0,6.5
Laos,29.0,2050711.0,29.0,14.0
Latvia,78.0,1484085.0,44.0,39.0
Lebanon,35.0,2385796.0,19.0,15.0
Lesotho,4.9,103778.0,3.4,1.5
Liberia,2.3,113680.0,2.1,0.6
Libya,15.0,1022882.0,12.0,0.8
Lithuania,112.0,3117351.0,59.0,53.0
Luxembourg,122.0,757407.0,65.0,57.0
Macau,92.0,582592.0,51.0,42.0
Mainland China,143.0,2003914000.0,,56.0
Malawi,4.5,840736.0,3.5,2.0
Malaysia,103.0,33044202.0,59.0,44.0
Maldives,127.0,676694.0,71.0,57.0
Mali,1.3,259719.0,0.9,0.4
Malta,158.0,793866.0,82.0,82.0
Mauritania,5.6,254155.0,5.0,0.6
Mauritius,118.0,1496498.0,63.0,56.0
Mexico,65.0,82678717.0,45.0,25.0
Moldova,47.0,1260208.0,22.0,25.0
Mongolia,134.0,4311222.0,69.0,64.0
Montenegro,62.0,383776.0,33.0,29.0
Morocco,86.0,31248289.0,49.0,37.0
Mozambique,6.5,1960320.0,4.0,2.2
Myanmar,12.0,6253687.0,8.2,3.3
Namibia,12.0,305086.0,8.2,4.0
Nepal,31.0,8936422.0,17.0,14.0
Netherlands,126.0,21881815.0,69.0,62.0
New Caledonia,50.0,144974.0,27.0,23.0
New Zealand,60.0,2932454.0,38.0,21.0
Nicaragua,9.4,612799.0,6.3,3.1
Niger,2.1,490549.0,1.7,0.4
Nigeria,2.0,3967013.0,1.3,0.7
North Macedonia,57.0,1177911.0,32.0,24.0
Norway,124.0,6618131.0,71.0,52.0
Oman,68.0,3379862.0,47.0,21.0
Pakistan,24.0,50985184.0,18.0,7.1
Panama,100.0,4226317.0,64.0,31.0
Papua New Guinea,1.3,113052.0,1.0,0.2
Paraguay,54.0,3784757.0,32.0,22.0
Peru,54.0,17498372.0,30.0,23.0
Philippines,29.0,31433450.0,17.0,17.0
Poland,95.0,36053472.0,50.0,49.0
Portugal,140.0,14410957.0,82.0,72.0
Qatar,153.0,4333672.0,81.0,72.0
Republic of the Congo,5.4,290287.0,3.4,2.0
Romania,50.0,9707596.0,27.0,26.0
Russia,54.0,78431369.0,30.0,25.0
Rwanda,14.0,1723562.0,9.8,3.8
Saint Lucia,35.0,63262.0,20.0,15.0
Saint Vincent and the Grenadines,24.0,26690.0,15.0,9.3
Samoa,63.0,124960.0,44.0,19.0
Saudi Arabia,104.0,35523978.0,64.0,40.0
Senegal,11.0,1712551.0,7.0,3.5
Serbia,83.0,5779396.0,42.0,40.0
Singapore,154.0,8796076.0,80.0,76.0
Slovakia,83.0,4503213.0,43.0,39.0
Slovenia,90.0,1877990.0,47.0,43.0
Solomon Islands,9.5,63320.0,7.3,2.2
Somalia,1.8,282522.0,1.2,0.6
South Africa,19.0,11076106.0,14.0,8.8
South Korea,78.0,40359605.0,54.0,27.0
Spain,137.0,64714501.0,77.0,68.0
Sri Lanka,84.0,18341871.0,56.0,28.0
Sudan,1.9,829682.0,1.5,0.4
Suriname,55.0,319815.0,34.0,21.0
Sweden,119.0,12282731.0,66.0,53.0
Switzerland,111.0,9479410.0,57.0,51.0
Syria,2.3,388520.0,1.4,0.9
São Tomé and Príncipe,20.0,43987.0,15.0,5.5
Taiwan,45.0,10586017.0,41.0,3.5
Tajikistan,24.0,2255745.0,20.0,3.9
Tanzania,0.4,218621.0,0.4,0.4
Thailand,41.0,28835580.0,31.0,9.5
Timor-Leste,43.0,556783.0,29.0,14.0
Togo,6.6,535518.0,4.4,2.2
Tonga,52.0,54619.0,28.0,25.0
Trinidad and Tobago,63.0,879807.0,36.0,27.0
Tunisia,43.0,5054931.0,31.0,15.0
Turkey,110.0,91747545.0,57.0,43.0
U.A.E.,183.0,17909062.0,87.0,76.0
U.K.,135.0,90095045.0,72.0,63.0
Uganda,2.9,1297726.0,2.0,0.5
Ukraine,19.0,8636045.0,12.0,7.7
United States,110.0,365767674.0,61.0,52.0
Uruguay,157.0,5434944.0,77.0,72.0
Uzbekistan,36.0,12103334.0,26.0,3.7
Vanuatu,10.0,31042.0,9.8,0.6
Venezuela,16.0,4678086.0,,
Vietnam,19.0,18522203.0,17.0,2.2
West Bank & Gaza,23.0,1078213.0,14.0,9.2
Zambia,3.2,562630.0,1.7,1.4
Zimbabwe,27.0,4015517.0,17.0,11.0
